Lexical item;Level
bajar el sueldo;B1
bajar el tono;C2
bajar la bolsa;B2
bajar la cabeza;B1
bajar la marea;B2
bajar la mirada;C1
bajar la temperatura;B1
bajar las manos;B1
bajar los brazos;B1
bajar un programa;B1
bajar una nota;C1
bajarse;A2
bajarse de un autobús;B1
bajarse de un avión;B1
bajarse de un barco;B1
bajarse de un coche;B1
bajarse de un tren;B1
bajarse de una bicicleta;B1
bajarse de una moto;B1
bajarse música;B1
bajarse un archivo;B1
bajarse un programa;B1
bajas presiones;C1
bajito;A2
bajo;B1
bajo en azúcar;B2
bajo en calorías;B2
bajo en sal;B2
bajo juramento;C1
bajo protección;C1
bajo sospecha;C1
bajo vigilancia;C1
balón;B1
balón de baloncesto;B1
balón de fútbol;B1
bala;B2
balada;C1
balance;C1
balancearse;C1
baldosa;C2
ballena;B1
ballenero;C2
ballet;B1
balneario;B2
baloncestista;B1
baloncesto;A2
